gamma,delta_c,n_verified_agents,median,q1,q3,mean,sd,proportion_above_0_5
16.0,0.12499999999999994,60,0.7848027013550736,0.6636642271703163,0.8429497437379376,0.7225079832065968,0.17176248432504976,0.8666666666666667
17.0,0.12499999999999994,60,0.8012044962945793,0.6747668741037611,0.8670021078583913,0.7290157914889016,0.18500473170709975,0.85
18.0,0.12499999999999994,60,0.8173668383671135,0.6784048524441899,0.8814537591817528,0.7369364577500264,0.1951710382947705,0.85
19.0,0.12499999999999994,60,0.8301464722704637,0.6851706262448616,0.8939252403555595,0.7477262107898771,0.20284441256152566,0.85
20.0,0.12499999999999994,60,0.8530384407006087,0.6755019867835222,0.9062631105514045,0.7539272347167505,0.21152987645462062,0.85
21.0,0.12499999999999994,60,0.867767523889337,0.6931246514181654,0.9198079081369887,0.7609225369981136,0.22068687445327606,0.85
22.0,0.12499999999999994,60,0.8841998292626871,0.7165116147432755,0.93547578509021,0.7687967473039606,0.22972649592392919,0.85
14.0,0.14999999999999994,60,0.7865096783056057,0.6799664164803738,0.8469775437571482,0.7481092939737587,0.1377353429494298,0.9166666666666666
15.0,0.14999999999999994,60,0.8124728971275814,0.6980545008253007,0.8663293960250912,0.7630209872266158,0.14293969635222778,0.9166666666666666
16.0,0.14999999999999994,60,0.8352710388159168,0.7158079363802827,0.8836876405420765,0.7760722795404484,0.15049168447747316,0.9
17.0,0.14999999999999994,60,0.8533408377684205,0.7268380038026343,0.9028440292391583,0.7887333591158793,0.1584513214885861,0.9
18.0,0.14999999999999994,60,0.8703031329509948,0.7596570555868698,0.9137123394987539,0.7988143935136163,0.16850574747030136,0.9166666666666666
19.0,0.14999999999999994,60,0.8881827081955722,0.7659903397279739,0.9245336198102925,0.8074475890589844,0.17614483486142418,0.9166666666666666
20.0,0.14999999999999994,60,0.8971116631014402,0.7805756483601574,0.9359717187192915,0.8166059452031527,0.18372555401214297,0.9166666666666666
21.0,0.14999999999999994,60,0.9057070703818246,0.7871197889207526,0.9469458823660911,0.824067207774604,0.18740018622535298,0.9166666666666666
22.0,0.14999999999999994,60,0.9128905462427402,0.806255108068082,0.9537094918603154,0.8316985077853472,0.19057270753048194,0.9166666666666666
14.0,0.17499999999999993,60,0.8404307047317181,0.7428447911446815,0.8801021123814535,0.7948719820822556,0.12106100050344638,0.9333333333333333
15.0,0.17499999999999993,60,0.858733514867583,0.7602899002301764,0.9001780639992493,0.8095913619295211,0.12536324653301176,0.9333333333333333
16.0,0.17499999999999993,60,0.8774368795742724,0.7810544925175975,0.9104218985208224,0.8232701611403913,0.1288429251402739,0.9333333333333333
17.0,0.17499999999999993,60,0.8897626986130125,0.7979749527967737,0.9238434128061224,0.8348687950775993,0.13312852206558817,0.9333333333333333
18.0,0.17499999999999993,60,0.9013412572145207,0.8029543530996894,0.9404717735841185,0.8445504829890266,0.13800235204822064,0.9333333333333333
19.0,0.17499999999999993,60,0.912544558603766,0.8292450963181766,0.9458026604988073,0.854760675595963,0.14110178029080755,0.9333333333333333
20.0,0.17499999999999993,60,0.9219955818256397,0.8458288186509717,0.954038585846081,0.8629976010694915,0.14330815064931665,0.9333333333333333
21.0,0.17499999999999993,60,0.9335238973472162,0.8519660990011064,0.9606837080578261,0.8688632960939242,0.15383985552368912,0.9166666666666666
22.0,0.17499999999999993,60,0.9417761590066849,0.868371393177469,0.9656651933080277,0.8750748187567492,0.1600646185550875,0.9166666666666666
14.0,0.19999999999999993,60,0.8735036977870956,0.7905513144013878,0.900103561272886,0.8324948947949659,0.1042136758092777,1.0
15.0,0.19999999999999993,60,0.887767963803144,0.8096641606609007,0.9186280519529957,0.8466230395474112,0.10563077647444534,1.0
16.0,0.19999999999999993,60,0.9010168606298619,0.831801052288021,0.9341776746741499,0.8610630375155007,0.1048577816700494,1.0
17.0,0.19999999999999993,60,0.9177889610890858,0.8420383743510554,0.9426950705920167,0.873763766773778,0.10491487420830863,1.0
18.0,0.19999999999999993,60,0.9280843677572519,0.8593487475044489,0.9526699431236101,0.8839450365713862,0.10550049837027352,1.0
19.0,0.19999999999999993,60,0.9390705578440698,0.8693947103003703,0.958460155549161,0.8932320091704113,0.10465127711646148,1.0
20.0,0.19999999999999993,60,0.9492741057331731,0.8862452901586853,0.9661223777567703,0.9016242494300053,0.10218454463908709,1.0
21.0,0.19999999999999993,60,0.9568251834761294,0.8931851352666229,0.9715630107811681,0.9100099801148246,0.1019122390402481,1.0
22.0,0.19999999999999993,60,0.9629392178208072,0.9054275843381981,0.9750215768995772,0.9165549413459678,0.10013540348268365,1.0
