outcome,p_value,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,Pr(>|t|),nobs,missingness_handling
Age 17 psychological distress,0.047615618238026035,-0.23064484076940228,-0.001594479561791609,-0.11611966016559694,precision,sampling_stratumNorthern Ireland - Advantaged,-0.11611966016559694,0.05843121459377823,-1.987288146804352,0.047615618238026035,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.09123413187521885,-0.23135609055445655,0.01689225072407241,-0.10723191991519207,precision,sampling_stratumNorthern Ireland - Disadvantaged,-0.10723191991519207,0.06332865848942065,-1.693260562800421,0.09123413187521885,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.7622282748115535,-0.025270001348443955,0.03450368308758154,0.004616840869568794,precision,precision_index,0.004616840869568794,0.015248388886741198,0.302775650848152,0.7622282748115535,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.2364433055892347,-0.01681126321979922,0.06831150857256416,,combined,(Intercept),0.025750122676382464,0.02171499280417433,1.1858222983814413,0.2364433055892347,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,8.554470355748061e-26,0.13231992692821265,0.18767199483546881,0.15999596088184073,combined,baseline_distress_z,0.15999596088184073,0.014120425486544944,11.33081726427419,8.554470355748061e-26,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.7255877764082218,-0.029134027859840927,0.02027850263839282,-0.004427762610724052,combined,baseline_age_z,-0.004427762610724052,0.012605237371998406,-0.3512637231695451,0.7255877764082218,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,2.356384462650295e-46,0.18624395258220283,0.2364690236716338,0.21135648812691832,combined,sex_z,0.21135648812691832,0.01281251813505892,16.496092797604174,2.356384462650295e-46,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.691414685120212,-0.02796097973790675,0.042175965152246475,0.007107492707169862,combined,income_quintile_z,0.007107492707169862,0.017892077778100313,0.39724244413185744,0.691414685120212,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.14250068392700765,-0.12771391271473867,0.01826063085481782,-0.05472664092996043,combined,sampling_stratumEngland - Disadvantaged,-0.05472664092996043,0.03723840397182564,-1.4696290681890205,0.14250068392700765,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,4.8809439619984155e-4,-0.24559009890204594,-0.06984983947519638,-0.15771996918862116,combined,sampling_stratumEngland - Ethnic,-0.15771996918862116,0.04483169883337999,-3.5180457866385564,4.8809439619984155e-4,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.7686434911001453,-0.13806889986674042,0.1020122728951823,-0.018028313485779057,combined,sampling_stratumWales - Advantaged,-0.018028313485779057,0.06124519713314355,-0.2943628942296738,0.7686434911001453,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.6585118407452795,-0.08239338253573006,0.13041979258570383,0.024013205024986876,combined,sampling_stratumWales - Disadvantaged,0.024013205024986876,0.054289075286080075,0.4423211281173535,0.6585118407452795,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.04196740956346174,0.004266446539456861,0.21117274881892578,0.10771959767919131,combined,sampling_stratumScotland - Advantaged,0.10771959767919131,0.052782219969252274,2.040831131050233,0.04196740956346174,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.2729957781248382,-0.06493992575998536,0.2303103701571962,0.08268522219860541,combined,sampling_stratumScotland - Disadvantaged,0.08268522219860541,0.07531895304009734,1.0978010030833343,0.2729957781248382,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.1128620547468689,-0.19996564303721065,0.020892392645302335,-0.08953662519595415,combined,sampling_stratumNorthern Ireland - Advantaged,-0.08953662519595415,0.056341335633294125,-1.589181800351991,0.1128620547468689,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.23149959670525752,-0.1944958433703159,0.04689605993374878,-0.07379989171828355,combined,sampling_stratumNorthern Ireland - Disadvantaged,-0.07379989171828355,0.06157956716940425,-1.1984477174914434,0.23149959670525752,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,4.3663683476369706e-32,-0.3478423932673552,-0.2565904149987339,-0.30221640413304457,combined,field_index,-0.30221640413304457,0.023278565884852373,-12.982604067104504,4.3663683476369706e-32,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.14408408492543948,-0.00713971371916854,0.04926524428537957,0.021062765283105515,combined,precision_index,0.021062765283105515,0.014389019899119415,1.4638081975544786,0.14408408492543948,8371,Complete-case analysis on a common comparison sample
