outcome,nobs,missingness_handling,p_value,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,Pr(>|t|)
Age 17 psychological distress,7248,Complete-case analysis,0.3641162651399512,-0.019075516936149044,0.05204919034866408,0.01648683670625752,mcs_peer_school_trouble,income_quintile_z,0.01648683670625752,0.018144057980819677,0.9086631404995493,0.3641162651399512
Age 17 psychological distress,7248,Complete-case analysis,0.22946529597415632,-0.12917604534935934,0.03087950795695374,-0.0491482686962028,mcs_peer_school_trouble,sampling_stratumEngland - Disadvantaged,-0.0491482686962028,0.040830498292426805,-1.2037146435050674,0.22946529597415632
Age 17 psychological distress,7248,Complete-case analysis,0.0077323610408049715,-0.23734460081948838,-0.03674725993931731,-0.13704593037940285,mcs_peer_school_trouble,sampling_stratumEngland - Ethnic,-0.13704593037940285,0.05117279104085997,-2.6781015377874486,0.0077323610408049715
Age 17 psychological distress,7248,Complete-case analysis,0.7079731139577925,-0.16425273499862186,0.11151062229643253,-0.026371056351094668,mcs_peer_school_trouble,sampling_stratumWales - Advantaged,-0.026371056351094668,0.0703477952283302,-0.37486684928079467,0.7079731139577925
Age 17 psychological distress,7248,Complete-case analysis,0.33774959462146936,-0.05590278630095898,0.1632052566615927,0.05365123518031686,mcs_peer_school_trouble,sampling_stratumWales - Disadvantaged,0.05365123518031686,0.055894908919018285,0.959859067988605,0.33774959462146936
Age 17 psychological distress,7248,Complete-case analysis,0.06209698523964645,-0.004639413971911935,0.2002485663841746,0.09780457620613132,mcs_peer_school_trouble,sampling_stratumScotland - Advantaged,0.09780457620613132,0.05226734192757309,1.8712368488464408,0.06209698523964645
Age 17 psychological distress,7248,Complete-case analysis,0.05612553883389586,-0.002930454322213505,0.25841268211561175,0.12774111389669912,mcs_peer_school_trouble,sampling_stratumScotland - Disadvantaged,0.12774111389669912,0.06666916745862889,1.9160448340076848,0.05612553883389586
Age 17 psychological distress,7248,Complete-case analysis,0.22045335229675658,-0.19972757629904714,0.045906896537151534,-0.0769103398809478,mcs_peer_school_trouble,sampling_stratumNorthern Ireland - Advantaged,-0.0769103398809478,0.0626618553153568,-1.2273868926140632,0.22045335229675658
Age 17 psychological distress,7248,Complete-case analysis,0.17800529760267364,-0.2307735190921384,0.042572656829321945,-0.09410043113140822,mcs_peer_school_trouble,sampling_stratumNorthern Ireland - Disadvantaged,-0.09410043113140822,0.06973116732690314,-1.3494744852077518,0.17800529760267364
Age 17 psychological distress,7248,Complete-case analysis,7.561413035144767e-30,-0.35169123697235716,-0.255784740440994,-0.30373798870667557,mcs_peer_school_trouble,field_index,-0.30373798870667557,0.024465942992694684,-12.41472641366691,7.561413035144767e-30
Age 17 psychological distress,7248,Complete-case analysis,0.4876415038103984,-0.04260448855600789,0.020305079461844844,-0.011149704547081522,mcs_peer_school_trouble,peer_school_trouble,-0.011149704547081522,0.016048359188227737,-0.6947566674143473,0.4876415038103984
Age 17 psychological distress,7248,Complete-case analysis,0.15195988861216098,-0.008132120383805012,0.05265579957299599,0.02226183959459549,mcs_peer_school_trouble,precision_index,0.02226183959459549,0.01550712243795944,1.435588045664834,0.15195988861216098
Age 17 psychological distress,7248,Complete-case analysis,0.011917238071224629,-0.10915602074901123,-0.013793905495053015,-0.06147496312203212,mcs_peer_school_trouble,field_index:peer_school_trouble,-0.06147496312203212,0.024327070217846483,-2.5270187725661155,0.011917238071224629
Age 17 psychological distress,7248,Complete-case analysis,0.2709726996037799,-0.05074447618771722,0.014209215409479704,-0.018267630389118758,mcs_peer_school_trouble,peer_school_trouble:precision_index,-0.018267630389118758,0.016569819284999215,-1.1024640688541838,0.2709726996037799
