outcome,nobs,missingness_handling,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,p_value
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.1980314142084721,0.16153823118299293,-0.018246591512739573,abcd_neighborhood_risk,site3,-0.018246591512739573,0.09172695035496557,-0.19892290588675182,0.8423314396322011
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.09178793816374516,0.23965927536206844,0.07393566859916163,abcd_neighborhood_risk,site4,0.07393566859916163,0.08455286059331979,0.8744313093648663,0.38192697061734315
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.12996742668355535,0.22156955356415944,0.04580106344030204,abcd_neighborhood_risk,site5,0.04580106344030204,0.08967780108360071,0.5107291089531145,0.6095641400123584
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.039264604512035256,0.2895871943359105,0.12516129491193764,abcd_neighborhood_risk,site6,0.12516129491193764,0.08389076501223107,1.4919555793023156,0.1357762213683539
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.08579178208201076,0.30716056290289845,0.11068439041044385,abcd_neighborhood_risk,site7,0.11068439041044385,0.10024294514921153,1.1041613975496254,0.2695782381076029
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.045961946594188674,0.3472031252174781,0.1506205893116447,abcd_neighborhood_risk,site8,0.1506205893116447,0.10029721219685377,1.5017425311485333,0.13322910681110628
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.23396342550580962,0.1812070029168602,-0.0263782112944747,abcd_neighborhood_risk,site9,-0.0263782112944747,0.1059108235772117,-0.2490605813790534,0.803324530011295
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.034111123572024324,0.28206884468177557,0.12397886055487563,abcd_neighborhood_risk,site10,0.12397886055487563,0.08065815516678569,1.5370902086529374,0.1243368447657207
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.025672074162780778,0.43043280898130193,0.20238036740926058,abcd_neighborhood_risk,site11,0.20238036740926058,0.11635328651634763,1.739360988147302,0.08203511036767984
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.0419456619989102,0.30046565869277087,0.12925999834693033,abcd_neighborhood_risk,site12,0.12925999834693033,0.0873498267070615,1.4797968492876328,0.13899281001053335
