outcome,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,p_value,nobs,missingness_handling
Age 15 youth BPM internalising,-0.24440570289261332,0.12685414377528542,-0.05877577955866394,combined,site16,-0.05877577955866394,0.09470914455813743,-0.6205924447198896,0.5348985635931773,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,-0.13740165537107646,0.28704180455404793,0.07482007459148575,combined,site17,0.07482007459148575,0.10827639283804194,0.6910100404194328,0.48959410704743644,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,-0.21035538605268478,0.21323528998290342,0.0014399519651093111,combined,site18,0.0014399519651093111,0.10805884592744597,0.01332562783500519,0.9893685799508547,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,-0.40062445976442623,-0.002636715706858639,-0.20163058773564244,combined,site19,-0.20163058773564244,0.10152748572897133,-1.985970461968273,0.04709587871581153,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,-0.32922624026284286,0.052718898736956066,-0.1382536707629434,combined,site20,-0.1382536707629434,0.09743498443872421,-1.418932548297266,0.15598644786593105,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,-0.34817597073704903,0.04186251167711602,-0.1531567295299665,combined,site21,-0.1531567295299665,0.0994996128607564,-1.5392696024285035,0.12380728765157187,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,-0.1079764246459838,-0.04160835178344603,-0.07479238821471491,combined,field_index,-0.07479238821471491,0.016930630832280042,-4.417578349893218,1.0210686469264959e-5,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,-0.004169843613737765,0.04556014074303333,0.020695148564647783,combined,precision_index,0.020695148564647783,0.0126862204991763,1.6313092276767136,0.10289355676326724,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.18173091302067926,0.12427726387183505,,combined,(Intercept),-0.0287268245744221,0.07806331043176386,-0.3679939323036087,0.712895459832928,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,0.4280207495034063,0.4810784565586882,0.45454960303104724,combined,baseline_bpm_attention_z,0.45454960303104724,0.01353512935083722,33.58295227543805,2.5304966590091712e-220,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.04396891773984487,0.007458538464514844,-0.018255189637665013,combined,baseline_age_z,-0.018255189637665013,0.013119249031724416,-1.3914812954248434,0.1641498713284388,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,0.11566226869371948,0.16471124305063167,0.14018675587217558,combined,sex_z,0.14018675587217558,0.012512493458395963,11.203742590419447,9.542658268355973e-29,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.030815480398340124,0.03527620762992178,0.0022303636157908254,combined,household_income_z,0.0022303636157908254,0.016860124497005587,0.13228630762405968,0.8947638858553584,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,0.006011330917712707,0.06250185396153284,0.03425659243962277,combined,parent_education_z,0.03425659243962277,0.014410847715260237,2.377139299261837,0.017490006581453766,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
