outcome,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,p_value,nobs,missingness_handling
Age 15 parent-reported internalising,-0.0309974959304605,0.28718826229297,0.12809538318125474,precision,site10,0.12809538318125474,0.08116983628148737,1.5781155790069004,0.11460466759950036,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.004430619772831629,0.4522496044097538,0.22390949231846108,precision,site11,0.22390949231846108,0.11650005718943506,1.9219689476578778,0.05466853896891947,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.03584973379803463,0.3077762897348419,0.13596327796840363,precision,site12,0.13596327796840363,0.08765969988083584,1.5510351752656173,0.12095889384765048,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.061452869838454466,0.4056711885361646,0.23356202918730953,precision,site13,0.23356202918730953,0.08781079558615054,2.6598327418428127,0.007843815664755357,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.02366287268038228,0.31412278114632974,0.14522995423297372,precision,site14,0.14522995423297372,0.08616980964967143,1.6853925385632726,0.09197757879063753,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.120659945404453,0.2595602469513881,0.06945015077346754,precision,site15,0.06945015077346754,0.0969949470295513,0.7160182349737071,0.4740147686368069,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.01767016495279289,0.3035398794478828,0.14293485724754496,precision,site16,0.14293485724754496,0.08194133785731522,1.7443559134516207,0.08116077518564094,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.0027580235381732265,0.33703309754458033,0.16989556054137678,precision,site17,0.16989556054137678,0.08527425357306304,1.9923429807076547,0.046389738301758306,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.07095107588557184,0.4291110394824522,0.250031057684012,precision,site18,0.250031057684012,0.0913673376522654,2.7365474808470864,0.006231514579312339,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.1089135061211748,0.22897371843269182,0.0600301061557585,precision,site19,0.0600301061557585,0.08619572054945576,0.6964395189586652,0.4861871968005438,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.0033102800468398086,0.3324268809189957,0.16455830043607794,precision,site20,0.16455830043607794,0.08564723494026416,1.9213498316770108,0.05474651379207271,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.056364596520375634,0.2777535058686405,0.11069445467413243,precision,site21,0.11069445467413243,0.08523420979311636,1.298709226527871,0.19410585072451172,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.050821039481185826,-0.009347140470090314,-0.030084089975638068,precision,precision_index,-0.030084089975638068,0.010580076278340692,-2.8434662647211324,0.004481352546048834,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.25949073235125775,0.02118786639986761,,combined,(Intercept),-0.11915143297569508,0.07160168335487893,-1.664087035288621,0.09616002636310722,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.568939380598497,0.6138876554811927,0.5914135180398449,combined,baseline_internalising_z,0.5914135180398449,0.011466396653748878,51.57797483366192,0,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.02495267964677784,0.01850437858182478,-0.0032241505324765297,combined,baseline_age_z,-0.0032241505324765297,0.011085984241990466,-0.29083123898592517,0.7711929025704247,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
